time	I(L1)
6.004335250000079e-04	-1.245254e+00
6.005299999999999e-04	-1.029246e+00
6.005396474999991e-04	-1.007786e+00
6.005589424999975e-04	-9.649405e-01
6.005975324999943e-04	-8.796254e-01
6.006747124999880e-04	-7.102487e-01
6.008290724999752e-04	-3.758440e-01
6.011377924999496e-04	2.758976e-01
6.017552324998986e-04	1.324081e+00
6.029901124997966e-04	3.042027e+00
6.050729414275271e-04	5.227982e+00
6.092385992829880e-04	7.651549e+00
6.143227904652710e-04	8.128069e+00
6.209212925799827e-04	6.521052e+00
6.288913252433953e-04	3.422396e+00
6.333300000000000e-04	1.619461e+00
6.333600000000000e-04	1.607107e+00
6.334200000000000e-04	1.579512e+00
6.335399999999999e-04	1.508559e+00
6.336299999999999e-04	1.440933e+00
6.336320000000000e-04	1.439170e+00
6.336359999999999e-04	1.435371e+00
6.336439999999999e-04	1.426323e+00
6.336499999999999e-04	1.414994e+00
6.336505999999999e-04	1.413664e+00
6.336517999999999e-04	1.411001e+00
6.336541999999998e-04	1.405668e+00
6.336589999999998e-04	1.395000e+00
6.336685999999999e-04	1.373676e+00
6.336877999999998e-04	1.331102e+00
6.337261999999997e-04	1.246281e+00
6.338029999999995e-04	1.078004e+00
6.338299999999999e-04	1.019284e+00
6.338327000000000e-04	1.013425e+00
6.338381000000001e-04	1.001711e+00
6.338489000000003e-04	9.783026e-01
6.338705000000006e-04	9.315649e-01
6.340001000000027e-04	6.533735e-01
6.341729000000054e-04	2.884628e-01
6.345185000000108e-04	-3.136457e-01
6.352097000000217e-04	-1.360619e+00
6.365921000000435e-04	-3.133940e+00
6.393569000000870e-04	-5.695191e+00
6.441753892131902e-04	-7.745429e+00
6.495733396890666e-04	-7.573559e+00
6.562912243429925e-04	-5.539357e+00
6.648057488346107e-04	-2.254468e+00
6.667000000000000e-04	-1.500352e+00
6.667230000000000e-04	-1.491154e+00
6.667690000000000e-04	-1.471420e+00
6.668609999999999e-04	-1.423123e+00
6.669299999999999e-04	-1.378507e+00
6.669320000000000e-04	-1.376968e+00
6.669359999999999e-04	-1.373560e+00
6.669439999999999e-04	-1.365335e+00
6.669447500000000e-04	-1.364452e+00
6.669462499999999e-04	-1.362629e+00
6.669492499999999e-04	-1.357200e+00
6.669499999999999e-04	-1.355592e+00
6.669500749999999e-04	-1.355426e+00
6.669502250000000e-04	-1.355095e+00
6.669505250000000e-04	-1.354432e+00
6.669511250000000e-04	-1.353109e+00
6.669523250000001e-04	-1.350462e+00
6.669547250000002e-04	-1.345167e+00
6.669595250000005e-04	-1.334568e+00
6.669691250000009e-04	-1.313354e+00
6.669883250000019e-04	-1.270938e+00
6.670267250000040e-04	-1.186317e+00
