time	I(L1)
4.490111202889401e-04	-8.454835e+00
4.554856640427327e-04	-6.104115e+00
4.637235429505079e-04	-2.468261e+00
4.666900000000000e-04	-1.177393e+00
4.667129999999999e-04	-1.167435e+00
4.667590000000000e-04	-1.146406e+00
4.668510000000000e-04	-1.097047e+00
4.669200000000000e-04	-1.053082e+00
4.669219999999999e-04	-1.051604e+00
4.669259999999999e-04	-1.048375e+00
4.669340000000000e-04	-1.040750e+00
4.669399999999999e-04	-1.033980e+00
4.669405999999999e-04	-1.032822e+00
4.669417999999999e-04	-1.030504e+00
4.669441999999999e-04	-1.025860e+00
4.669489999999999e-04	-1.016566e+00
4.669585999999999e-04	-9.979866e-01
4.669777999999998e-04	-9.608861e-01
4.670161999999997e-04	-8.869556e-01
4.670929999999996e-04	-7.401018e-01
4.671900000000000e-04	-5.561671e-01
4.671997000000000e-04	-5.378799e-01
4.672191000000001e-04	-5.013534e-01
4.672579000000003e-04	-4.284447e-01
4.673355000000006e-04	-2.832190e-01
4.674907000000012e-04	4.625475e-03
4.678011000000024e-04	5.690532e-01
4.684219000000049e-04	1.649798e+00
4.696635000000099e-04	3.611451e+00
4.721467000000199e-04	6.737564e+00
4.771131000000398e-04	1.015779e+01
4.824212526476218e-04	1.057195e+01
4.893982591723717e-04	8.118814e+00
4.979565935116718e-04	2.190841e+00
4.999900000000000e-04	6.345536e-01
5.000200000000000e-04	6.113691e-01
5.000800000000000e-04	5.628118e-01
5.002000000000000e-04	4.530917e-01
5.002900000000000e-04	3.592377e-01
5.002920000000001e-04	3.569402e-01
5.002960000000000e-04	3.521193e-01
5.003040000000000e-04	3.412785e-01
5.003100000000000e-04	3.293896e-01
5.003106000000000e-04	3.280374e-01
5.003118000000000e-04	3.253309e-01
5.003141999999999e-04	3.199123e-01
5.003189999999999e-04	3.090716e-01
5.003286000000000e-04	2.874011e-01
5.003477999999999e-04	2.441304e-01
5.003861999999998e-04	1.579032e-01
5.004629999999996e-04	-1.324378e-02
5.004899999999999e-04	-6.374334e-02
5.004927000000000e-04	-6.852705e-02
5.004981000000001e-04	-7.808508e-02
5.005089000000002e-04	-9.719524e-02
5.005305000000004e-04	-1.354288e-01
5.005737000000009e-04	-2.117196e-01
5.006601000000020e-04	-3.634351e-01
5.008329000000040e-04	-6.632156e-01
5.011785000000080e-04	-1.247993e+00
5.018697000000161e-04	-2.357949e+00
5.032521000000324e-04	-4.338897e+00
5.060169000000648e-04	-7.377141e+00
5.115465000001296e-04	-1.033039e+01
5.173172668311904e-04	-1.013929e+01
5.248135760777216e-04	-7.177637e+00
5.333600000000000e-04	-2.625067e+00
5.333830000000000e-04	-2.611142e+00
5.334290000000000e-04	-2.582210e+00
5.335209999999999e-04	-2.517063e+00
5.335899999999999e-04	-2.461257e+00
5.335919999999999e-04	-2.459435e+00
5.335959999999999e-04	-2.455520e+00
5.336039999999999e-04	-2.446521e+00
5.336047500000000e-04	-2.445585e+00
5.336062499999999e-04	-2.443665e+00
5.336092499999999e-04	-2.438348e+00
5.336099999999999e-04	-2.436811e+00
5.336100749999999e-04	-2.436653e+00
5.336102250000000e-04	-2.436338e+00
5.336105250000000e-04	-2.435707e+00
5.336111250000000e-04	-2.434447e+00
5.336123250000000e-04	-2.431926e+00
5.336147250000002e-04	-2.426883e+00
5.336195250000004e-04	-2.416790e+00
5.336291250000009e-04	-2.396588e+00
5.336483250000019e-04	-2.356192e+00
5.336867250000039e-04	-2.275549e+00
5.337635250000079e-04	-2.114976e+00
5.338599999999999e-04	-1.914694e+00
5.338696474999991e-04	-1.894766e+00
5.338889424999975e-04	-1.854967e+00
5.339275324999943e-04	-1.775649e+00
5.340047124999880e-04	-1.617911e+00
5.341590724999752e-04	-1.305472e+00
5.344677924999496e-04	-6.925194e-01
5.350852324998986e-04	4.848771e-01
5.363201124997965e-04	2.640689e+00
5.387898724995923e-04	6.152487e+00
5.435869141061377e-04	9.286156e+00
5.485088408393181e-04	9.552635e+00
5.554440726202354e-04	7.504115e+00
5.635126388407542e-04	3.850160e+00
5.666600000000000e-04	2.309408e+00
5.666900000000000e-04	2.294441e+00
5.667500000000000e-04	2.262137e+00
5.668699999999999e-04	2.184473e+00
5.669599999999999e-04	2.114262e+00
5.669620000000000e-04	2.112486e+00
5.669659999999999e-04	2.108707e+00
5.669739999999999e-04	2.099949e+00
5.669799999999999e-04	2.089617e+00
5.669805999999999e-04	2.088420e+00
5.669817999999999e-04	2.086024e+00
5.669841999999998e-04	2.081227e+00
5.669889999999998e-04	2.071631e+00
5.669985999999999e-04	2.052449e+00
5.670177999999998e-04	2.014144e+00
5.670561999999997e-04	1.937802e+00
5.671329999999995e-04	1.786074e+00
5.671599999999999e-04	1.733036e+00
5.671627000000000e-04	1.727742e+00
5.671681000000001e-04	1.717156e+00
5.671789000000003e-04	1.695997e+00
5.672005000000006e-04	1.653735e+00
5.672437000000013e-04	1.569436e+00
5.673301000000026e-04	1.401736e+00
5.675029000000054e-04	1.069962e+00
5.678485000000108e-04	4.211113e-01
5.685397000000217e-04	-6.420222e-01
5.699221000000435e-04	-2.422784e+00
5.723955797316328e-04	-4.886961e+00
5.773425391948115e-04	-7.708668e+00
5.829660428756483e-04	-8.365337e+00
5.903069247042882e-04	-6.783102e+00
5.989812926481866e-04	-3.423628e+00
6.000300000000000e-04	-2.936419e+00
6.000530000000000e-04	-2.925547e+00
